old_item_code,new_item_code
P5097,P5097
P5098,P5098
P5101,P5101
P5102,P5102
P5103,P5103
P5105,P5105
P5107,P5107
P5109,P5109
P5110,P5110
P5111,P5111
P5112,P5112
P5113,P5113
P5114,P5114
P5115,P5115
P5116,P5116
P5117,P5117
P5118,P5118
P5120,P5120
P5121,P5121
P5122,P5122
P5123,P5123
P5124,P5124
P5125,P5125
P5127,P5127
P5129,P5129
P5130,P5130
P5131 A,P5131 A
P5132,P5132
P5133,P5133
P5401,P5401
P5602,P5602
P6070,P6070
P6075,P6075
P6080,P6080
P6090,P6090
P6090 H,P6090 H
P6090 V,P6090 V
P6095,P6095
P6095 H,P6095 H
P6095 V,P6095 V
P6100,P6100
P6401,P6401
P6402,P6402
P6403,P6403
P6523,P6523
P7001,P7001
P7003,P7003
P7006,P7006
P7008,P7008
P7010,P7010
P7017,P7017
P7021,P7021
P7022,P7022
P7024-H,P7024-H
P7025-E,P7025-E
P7026-H,P7026-H
P7027,P7027
P7032,P7032
P7033,P7033
P7034,P7034
P7035,P7035
P7036,P7036
P7037,P7037
P7038,P7038
P7039,P7039
P7040,P7040
P7041,P7041
P7042,P7042
P7044,P7044
P7045,P7045
P7046,P7046
P7047,P7047
P7049,P7049
P7050,P7050
P7056,P7056
P7057,P7057
P7058,P7058
P7059,P7059
P7060,P7060
P7061,P7061
P7062,P7062
P7063,P7063
P7065,P7065
P7066,P7066
P7067,P7067
P7068,P7068
P7801,P7801
P8401,P8401
P8402,P8402
P8403,P8403
P8601,P8601
P8602,P8602
P8603,P8603
P8604,P8604
P8605,P8605
P8606,P8606
P8801,P8801
P8802,P8802
P9023,P9023
P9024,P9024
P9027,P9027
P9028,P9028
P9054,P9054
P9100,P9100
P9104,P9104
P9125,P9125
P9127,P9127
P9136,P9136
P9141,P9141
P9142,P9142
P9143,P9143
P9144,P9144
P9145,P9145
P9146,P9146
P9147,P9147
P9148,P9148
P9149,P9149
P9150,P9150
P9151,P9151
P9152,P9152
P9158,P9158
P9159,P9159
P9160,P9160
P9161,P9161
P9162,P9162
P9163,P9163
P9164,P9164
P9165,P9165
P9166,P9166
P9167,P9167
P9168,P9168
P9169,P9169
P9170,P9170
P9171,P9171
P9172,P9172
P9401,P9401
Partition 30 Room - 3 Py,Partition 30 Room - 3 Py
PBH001,PBH001
PBH002,PBH002
PC MEDIA,PC MEDIA
PC MEDIA WHITE,PC MEDIA WHITE
PDS001,PDS001
PDS002,PDS002
Plain Barcode Labels - 100 X 100 (500 / Roll),Plain Barcode Labels - 100 X 100 (500 / Roll)
Plain Barcode Labels - 75 X 75 (500 / Roll),Plain Barcode Labels - 75 X 75 (500 / Roll)
PLAIN CARD 100mm X 100mm (BLUE ),PLAIN CARD 100mm X 100mm (BLUE )
PLAIN CARD 100mm X 100mm (GREEN ),PLAIN CARD 100mm X 100mm (GREEN )
PLAIN CARD 105mm X 80mm (GREEN),PLAIN CARD 105mm X 80mm (GREEN)
PLAIN CARD 105mm X 85mm (BLUE),PLAIN CARD 105mm X 85mm (BLUE)
PLAIN CARD 20mm X 50mm (GREEN ),PLAIN CARD 20mm X 50mm (GREEN )
PLAIN CARD 30mm X 40mm (BLUE ),PLAIN CARD 30mm X 40mm (BLUE )
PLAIN CARD 30mm X 40mm (GREEN ),PLAIN CARD 30mm X 40mm (GREEN )
PLAIN CARD 30mm X 40mm (PINK),PLAIN CARD 30mm X 40mm (PINK)
PLAIN CARD 40mm X 30mm (YELLOW ),PLAIN CARD 40mm X 30mm (YELLOW )
PLAIN CARD 40mm X 60mm (YELLOW ),PLAIN CARD 40mm X 60mm (YELLOW )
Polyethylene Film Blue Semi Embossed film 600 mm x 120 mic - 1roll,Polyethylene Film Blue Semi Embossed film 600 mm x 120 mic - 1roll
Polyethylene Film Utility Green Semi Embossed Film Of Size 600 mm x 120 mic - 1roll,Polyethylene Film Utility Green Semi Embossed Film Of Size 600 mm x 120 mic - 1roll
Polyethylene Film White Semi Embossed film 600 mm x 120 mic - 1roll,Polyethylene Film White Semi Embossed film 600 mm x 120 mic - 1roll
POLYTHENE 24X36 LD T,POLYTHENE 24X36 LD T
POLYTHENE 27X48 BLACK BAG,POLYTHENE 27X48 BLACK BAG
POLYTHENE 27X48 LD T,POLYTHENE 27X48 LD T
POLYTHENE 72B,POLYTHENE 72B
POLYTHENE 72G,POLYTHENE 72G
POLYTHENE BAGS 10 X 12 LD T,POLYTHENE BAGS 10 X 12 LD T
POLYTHENE BAGS 12 X 16 HM,POLYTHENE BAGS 12 X 16 HM
POLYTHENE BAGS 12 X 16 LD T,POLYTHENE BAGS 12 X 16 LD T
POLYTHENE BAGS 14 X 18 LD T,POLYTHENE BAGS 14 X 18 LD T
POLYTHENE BAGS 18 X 24 LD T,POLYTHENE BAGS 18 X 24 LD T
POLYTHENE BAGS 18 X 24 LDN,POLYTHENE BAGS 18 X 24 LDN
POLYTHENE BAGS 3X4 LD T,POLYTHENE BAGS 3X4 LD T
POLYTHENE BAGS 4 X 5 LD N,POLYTHENE BAGS 4 X 5 LD N
POLYTHENE BAGS 5 X 7 LD T,POLYTHENE BAGS 5 X 7 LD T
POLYTHENE BAGS 8 X 10 LD T,POLYTHENE BAGS 8 X 10 LD T
POLYTHENE BAGS 8 X 10 LDN,POLYTHENE BAGS 8 X 10 LDN
POLYTHENE BLUE BAG,POLYTHENE BLUE BAG
Post Curing Card,Post Curing Card
Production Root Card 105mm X 100mm Green Colour,Production Root Card 105mm X 100mm Green Colour
Production Root Card 105mm X 80mm Blue Colour,Production Root Card 105mm X 80mm Blue Colour
Production Root Card 105mm X 80mm Yellow Colour,Production Root Card 105mm X 80mm Yellow Colour
PRODUCTION ROOT CARD 105mm X 95mm (BLUE),PRODUCTION ROOT CARD 105mm X 95mm (BLUE)
PRODUCTION ROOT CARD 105mm X 95mm (YELLOW),PRODUCTION ROOT CARD 105mm X 95mm (YELLOW)
Production Route Card With Post Curing (100mm X 100mm White Colour),Production Route Card With Post Curing (100mm X 100mm White Colour)
Production Route Card Without Post Curing (100mm X 100mm Green Colour),Production Route Card Without Post Curing (100mm X 100mm Green Colour)
PRODUCTION TAG SHIFT CLOSING 100mm X 100mm (GREEN ),PRODUCTION TAG SHIFT CLOSING 100mm X 100mm (GREEN )
QC OK STICKER - BIG  30mm X 30mm ( GREEN ),QC OK STICKER - BIG  30mm X 30mm ( GREEN )
QC OK STICKER 10mm X 10mm ( GREEN ),QC OK STICKER 10mm X 10mm ( GREEN )
Rejection Box,Rejection Box
Rejection Card (RED),Rejection Card (RED)
RM01,RM01
RM02,RM02
RM03,RM03
RM04,RM04
RM05,RM05
RM06,RM06
RUBBER COMPOUND MIXING- WORK SHEET-A4 BOOK,RUBBER COMPOUND MIXING- WORK SHEET-A4 BOOK
Safety Shoe,Safety Shoe
