source_account,account_type,root_type,target_account,notes
Output Tax SGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
Output Tax SGST RCM - SPP INDIA,Tax,Liability,,TODO: Map to target account
SGST - SPP INDIA,Tax,Liability,,TODO: Map to target account
TDS - SPP INDIA,Tax,Liability,,TODO: Map to target account
TDS 94C - SPP INDIA,Tax,Liability,,TODO: Map to target account
TDS Payable - SPP INDIA,Tax,Liability,,TODO: Map to target account
VAT 14% - SPP INDIA,Tax,Liability,,TODO: Map to target account
VAT 4% - SPP INDIA,Tax,Liability,,TODO: Map to target account
VAT 5% - SPP INDIA,Tax,Liability,,TODO: Map to target account
Temporary Opening - SPP INDIA,Temporary,Asset,,TODO: Map to target account
